age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,management,married,secondary,no,4056,no,no,unknown,20,jun,24,3,-1,0,unknown,0
36,management,married,tertiary,no,-3,no,no,cellular,14,aug,95,4,-1,0,unknown,0
45,blue-collar,single,primary,no,355,yes,no,unknown,29,may,151,1,-1,0,unknown,0
45,blue-collar,divorced,primary,no,1004,yes,no,unknown,12,jun,736,11,-1,0,unknown,1
28,technician,single,secondary,no,-46,no,no,cellular,4,feb,236,2,-1,0,unknown,0
35,management,married,tertiary,no,1163,yes,no,unknown,6,may,210,2,-1,0,unknown,0
53,management,married,tertiary,no,-303,no,no,telephone,9,apr,103,6,-1,0,unknown,0
33,technician,married,secondary,no,0,no,no,unknown,20,may,147,1,-1,0,unknown,0
41,admin.,married,secondary,no,-429,yes,yes,cellular,14,jul,793,8,-1,0,unknown,0
39,management,single,tertiary,no,816,yes,no,unknown,30,may,99,1,-1,0,unknown,0
37,technician,divorced,secondary,no,0,yes,no,cellular,13,may,1013,1,85,2,other,1
25,blue-collar,single,secondary,no,174,yes,yes,cellular,14,may,1688,2,330,1,failure,0
35,services,married,primary,no,484,no,no,unknown,16,jun,906,1,-1,0,unknown,0
42,services,married,secondary,no,797,yes,no,unknown,3,jun,87,7,-1,0,unknown,0
50,blue-collar,married,primary,no,708,yes,no,cellular,28,aug,70,8,-1,0,unknown,0
37,technician,single,secondary,no,609,yes,no,unknown,19,may,607,5,-1,0,unknown,0
51,technician,married,secondary,no,-11,yes,no,cellular,11,aug,153,8,-1,0,unknown,0
32,technician,married,secondary,no,1780,yes,no,unknown,26,may,114,6,-1,0,unknown,0
49,technician,married,secondary,no,1339,no,no,unknown,9,jun,696,2,-1,0,unknown,1
30,admin.,married,secondary,no,-213,no,yes,cellular,14,jul,134,3,-1,0,unknown,0
24,blue-collar,single,secondary,no,834,no,no,cellular,16,apr,80,1,317,1,failure,0
39,admin.,single,secondary,no,1322,yes,no,unknown,12,jun,67,2,-1,0,unknown,0
32,blue-collar,married,primary,no,-18,no,yes,cellular,10,jul,93,1,-1,0,unknown,0
43,technician,married,secondary,no,1443,no,no,cellular,6,aug,629,6,-1,0,unknown,1
37,management,married,tertiary,no,1477,no,no,cellular,4,feb,104,1,-1,0,unknown,0
57,management,married,secondary,no,2887,no,no,unknown,14,may,144,1,-1,0,unknown,0
64,retired,married,secondary,no,1027,no,no,cellular,28,jan,847,1,-1,0,unknown,1
60,retired,married,tertiary,no,5267,no,no,cellular,28,aug,201,5,181,3,success,1
34,admin.,single,secondary,no,1150,yes,no,cellular,14,may,25,10,-1,0,unknown,0
53,blue-collar,married,secondary,no,724,yes,no,cellular,18,aug,82,2,-1,0,unknown,0
49,blue-collar,divorced,primary,no,1128,no,yes,unknown,18,jun,819,4,-1,0,unknown,0
28,management,single,tertiary,no,682,no,no,cellular,27,feb,667,1,-1,0,unknown,1
54,entrepreneur,married,tertiary,no,1134,yes,no,unknown,26,may,185,6,-1,0,unknown,0
32,technician,single,secondary,no,941,no,no,cellular,2,jun,148,1,-1,0,unknown,0
57,management,married,secondary,no,5423,yes,no,cellular,21,jul,89,3,-1,0,unknown,0
34,technician,married,secondary,no,0,yes,no,cellular,16,jul,119,7,-1,0,unknown,0
51,admin.,married,secondary,no,769,no,no,cellular,4,aug,343,1,-1,0,unknown,0
46,technician,married,secondary,no,1,yes,no,cellular,27,feb,621,1,92,5,success,1
53,self-employed,divorced,secondary,no,816,no,yes,cellular,7,jul,121,1,-1,0,unknown,0
40,technician,married,secondary,no,548,no,yes,cellular,29,jan,86,1,-1,0,unknown,0
41,management,married,tertiary,no,0,no,no,cellular,30,jul,92,2,-1,0,unknown,0
44,management,married,tertiary,no,0,yes,no,cellular,5,may,231,1,-1,0,unknown,0
49,housemaid,married,primary,no,0,no,yes,unknown,18,jun,81,3,-1,0,unknown,0
47,technician,married,secondary,no,0,no,no,cellular,2,feb,139,1,-1,0,unknown,0
35,technician,single,tertiary,no,4594,no,no,cellular,24,jul,509,2,-1,0,unknown,0
37,management,single,tertiary,no,0,no,no,cellular,22,aug,98,4,-1,0,unknown,0
48,retired,married,primary,no,0,no,no,cellular,12,may,728,1,364,1,failure,0
31,blue-collar,single,secondary,no,823,yes,no,unknown,23,may,172,3,-1,0,unknown,0
32,technician,divorced,secondary,no,0,yes,no,cellular,10,jul,144,1,-1,0,unknown,0
47,housemaid,married,primary,no,51439,no,no,telephone,14,jul,25,3,-1,0,unknown,0
58,management,married,tertiary,no,2796,no,no,unknown,30,may,143,1,-1,0,unknown,0
37,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,183,3,-1,0,unknown,0
36,self-employed,married,tertiary,no,-547,no,yes,cellular,22,jul,117,1,-1,0,unknown,0
33,blue-collar,married,secondary,no,3037,yes,no,unknown,21,may,48,2,-1,0,unknown,0
54,management,married,tertiary,no,1301,no,no,cellular,11,aug,90,4,-1,0,unknown,0
58,housemaid,divorced,primary,no,3104,yes,no,unknown,9,jun,115,1,-1,0,unknown,0
49,housemaid,married,primary,no,4348,yes,no,unknown,6,jun,761,2,-1,0,unknown,0
31,management,married,tertiary,no,509,yes,no,cellular,25,aug,728,10,-1,0,unknown,0
26,admin.,single,secondary,no,0,no,no,cellular,10,jul,133,1,-1,0,unknown,0
36,entrepreneur,married,secondary,no,0,no,no,unknown,6,jun,63,1,-1,0,unknown,0
28,blue-collar,single,secondary,no,568,no,no,cellular,2,jun,203,1,90,3,success,0
34,blue-collar,married,secondary,no,1161,yes,yes,telephone,13,may,784,2,175,3,failure,0
43,technician,single,secondary,no,11,no,no,cellular,22,aug,70,7,-1,0,unknown,0
25,services,single,secondary,no,-14,yes,no,cellular,18,may,165,1,-1,0,unknown,0
39,technician,married,secondary,no,0,no,no,cellular,8,jul,97,1,-1,0,unknown,0
54,self-employed,married,tertiary,no,755,no,no,cellular,31,jul,1212,5,-1,0,unknown,0
52,services,divorced,secondary,no,241,yes,no,unknown,6,may,717,1,-1,0,unknown,0
25,student,single,tertiary,no,1804,no,no,cellular,13,nov,113,2,-1,0,unknown,0
37,technician,single,tertiary,no,0,yes,no,cellular,18,nov,268,1,-1,0,unknown,0
50,services,divorced,secondary,no,797,yes,no,unknown,18,jun,134,6,-1,0,unknown,0
55,admin.,married,secondary,no,0,no,no,unknown,11,jun,114,2,-1,0,unknown,0
33,technician,single,secondary,no,561,yes,no,cellular,11,aug,119,6,-1,0,unknown,0
39,management,married,tertiary,no,2980,yes,no,cellular,24,jul,74,2,-1,0,unknown,0
37,blue-collar,single,secondary,no,1039,yes,yes,cellular,20,nov,114,2,-1,0,unknown,0
34,management,single,tertiary,no,2900,no,no,cellular,14,aug,566,2,-1,0,unknown,1
33,management,married,tertiary,no,11,no,no,cellular,7,aug,159,2,-1,0,unknown,0
45,blue-collar,married,secondary,no,-342,no,no,unknown,18,jun,153,11,-1,0,unknown,0
40,technician,married,secondary,no,467,yes,yes,unknown,16,may,431,2,-1,0,unknown,0
32,technician,single,tertiary,no,3308,no,no,cellular,18,aug,605,2,-1,0,unknown,1
45,technician,married,secondary,no,0,no,no,cellular,4,aug,90,1,-1,0,unknown,0
45,blue-collar,married,unknown,no,629,no,no,telephone,10,jul,9,5,-1,0,unknown,0
45,technician,married,secondary,no,1477,yes,no,cellular,8,may,99,1,-1,0,unknown,0
32,technician,single,tertiary,no,0,no,no,cellular,28,aug,48,22,-1,0,unknown,0
37,blue-collar,married,secondary,no,-119,no,no,cellular,8,jul,143,4,-1,0,unknown,0
39,management,divorced,tertiary,no,0,yes,no,cellular,6,may,87,1,-1,0,unknown,0
53,admin.,married,secondary,no,2059,no,no,cellular,5,aug,1011,3,-1,0,unknown,1
34,blue-collar,married,secondary,no,0,yes,no,cellular,2,feb,211,2,-1,0,unknown,0
52,admin.,married,secondary,no,796,no,no,cellular,9,jul,796,1,-1,0,unknown,1
34,management,married,tertiary,no,130,yes,yes,unknown,23,may,5,2,-1,0,unknown,0
39,entrepreneur,divorced,secondary,yes,-1110,yes,yes,unknown,2,jun,179,2,-1,0,unknown,0
44,management,married,tertiary,no,906,yes,yes,unknown,5,may,579,2,-1,0,unknown,0
40,blue-collar,married,secondary,no,983,no,no,unknown,5,jun,78,2,-1,0,unknown,0
28,admin.,single,secondary,no,6,no,yes,cellular,5,feb,15,7,-1,0,unknown,0
53,admin.,married,tertiary,no,9072,no,no,telephone,18,nov,18,2,-1,0,unknown,0
56,blue-collar,married,secondary,no,1669,no,no,cellular,5,aug,110,5,-1,0,unknown,0
52,self-employed,divorced,secondary,no,2157,yes,no,unknown,20,may,14,7,-1,0,unknown,0
39,management,single,tertiary,no,2161,no,no,cellular,30,apr,679,1,-1,0,unknown,1
42,housemaid,married,primary,no,182,no,no,cellular,7,aug,107,2,-1,0,unknown,0
46,management,married,tertiary,no,1801,no,no,cellular,11,sep,545,2,-1,0,unknown,0
36,management,married,secondary,no,6463,no,yes,cellular,21,nov,158,1,-1,0,unknown,0
39,admin.,married,unknown,no,0,no,no,unknown,6,jun,147,1,-1,0,unknown,0
52,admin.,divorced,secondary,no,749,yes,no,unknown,3,jun,88,6,-1,0,unknown,0
50,management,married,tertiary,no,4045,no,no,unknown,19,jun,48,4,-1,0,unknown,0
38,technician,single,unknown,no,0,yes,no,cellular,28,jul,48,3,-1,0,unknown,0
44,management,married,secondary,no,641,yes,yes,unknown,5,jun,113,1,-1,0,unknown,0
31,blue-collar,single,secondary,no,-2,yes,no,cellular,18,may,178,2,-1,0,unknown,0
37,technician,married,secondary,no,528,yes,yes,cellular,17,apr,191,1,-1,0,unknown,0
39,blue-collar,married,primary,no,551,yes,no,cellular,17,apr,73,2,-1,0,unknown,0
35,blue-collar,married,secondary,no,1513,yes,no,unknown,23,may,805,3,-1,0,unknown,0
29,management,single,tertiary,no,482,no,no,cellular,6,feb,1135,4,-1,0,unknown,1
44,admin.,married,secondary,no,4343,yes,no,cellular,1,sep,91,4,-1,0,unknown,0
51,management,married,tertiary,no,0,no,no,cellular,21,nov,74,2,-1,0,unknown,0
34,admin.,married,secondary,no,938,yes,no,cellular,25,jul,151,1,-1,0,unknown,0
51,unemployed,divorced,secondary,no,722,no,no,unknown,6,feb,49,1,-1,0,unknown,0
33,management,divorced,tertiary,no,-2,yes,no,cellular,13,may,67,1,-1,0,unknown,0
53,management,divorced,secondary,no,-24,yes,no,unknown,26,may,202,1,-1,0,unknown,0
52,admin.,married,secondary,no,967,no,no,unknown,20,jun,415,2,-1,0,unknown,0
35,admin.,married,secondary,no,-196,yes,no,cellular,25,aug,135,4,-1,0,unknown,0
49,services,single,secondary,no,-178,yes,no,unknown,16,jun,73,1,-1,0,unknown,0
57,housemaid,married,tertiary,no,1387,no,no,cellular,7,aug,99,1,99,1,failure,0
43,admin.,married,secondary,no,2215,yes,no,cellular,23,jul,564,1,-1,0,unknown,0
45,technician,married,secondary,no,205,no,no,cellular,24,jul,467,2,-1,0,unknown,0
33,technician,married,secondary,no,479,yes,no,cellular,20,apr,73,3,-1,0,unknown,0
47,blue-collar,married,secondary,no,1780,yes,yes,unknown,19,jun,588,1,-1,0,unknown,0
57,management,married,tertiary,no,0,no,no,cellular,12,aug,394,3,-1,0,unknown,0
32,management,single,tertiary,no,837,yes,no,cellular,14,may,15,10,-1,0,unknown,0
47,blue-collar,married,primary,no,557,yes,no,cellular,3,feb,69,3,271,4,failure,0
35,management,married,tertiary,no,707,yes,no,unknown,27,may,130,2,-1,0,unknown,0
35,management,single,tertiary,no,0,no,no,cellular,22,aug,107,4,-1,0,unknown,0
26,blue-collar,single,secondary,no,579,no,yes,cellular,21,jul,572,4,-1,0,unknown,0
55,services,married,primary,no,574,no,no,unknown,5,jun,394,2,-1,0,unknown,0
32,management,single,tertiary,no,548,yes,no,cellular,8,may,126,2,-1,0,unknown,0
57,entrepreneur,married,tertiary,no,2920,no,no,cellular,17,nov,49,2,-1,0,unknown,0
32,technician,married,secondary,no,-119,yes,no,unknown,27,may,176,1,-1,0,unknown,0
46,technician,divorced,tertiary,no,587,yes,no,unknown,14,may,477,1,-1,0,unknown,0
50,management,married,secondary,no,434,yes,no,unknown,5,may,617,3,-1,0,unknown,0
31,technician,married,secondary,no,-119,yes,no,cellular,28,aug,95,4,-1,0,unknown,0
80,retired,married,primary,no,8304,no,no,telephone,12,aug,864,1,-1,0,unknown,1
39,management,married,tertiary,no,26,yes,no,unknown,6,may,543,1,-1,0,unknown,0
30,management,single,tertiary,no,1270,yes,no,cellular,15,may,50,2,-1,0,unknown,0
43,services,divorced,secondary,no,-854,no,yes,cellular,30,apr,120,3,-1,0,unknown,0
33,blue-collar,married,secondary,no,328,yes,no,unknown,21,may,638,1,-1,0,unknown,0
69,retired,married,secondary,no,3771,no,no,cellular,16,oct,355,1,91,2,success,1
53,blue-collar,married,primary,no,0,no,yes,cellular,28,aug,73,4,-1,0,unknown,0
63,retired,married,secondary,no,616,no,no,cellular,6,nov,98,2,-1,0,unknown,0
60,blue-collar,divorced,secondary,no,1374,yes,no,cellular,15,may,616,1,-1,0,unknown,0
26,technician,single,tertiary,no,603,yes,no,unknown,28,may,815,1,-1,0,unknown,1
30,services,divorced,secondary,no,5,yes,no,unknown,7,may,125,1,-1,0,unknown,0
47,services,married,secondary,no,-1,no,no,cellular,20,aug,88,2,-1,0,unknown,0
26,technician,single,secondary,no,-211,yes,no,cellular,29,jul,63,5,-1,0,unknown,0
38,services,single,secondary,no,0,yes,yes,cellular,15,may,197,1,-1,0,unknown,0
45,technician,married,secondary,no,2601,no,no,telephone,31,jul,8,3,-1,0,unknown,0
58,technician,single,secondary,no,0,no,no,cellular,29,aug,76,14,-1,0,unknown,0
34,admin.,married,secondary,no,-396,yes,yes,cellular,9,jul,128,1,-1,0,unknown,0
56,blue-collar,married,secondary,no,1381,yes,no,cellular,11,may,535,1,326,5,other,0
48,blue-collar,divorced,secondary,no,913,yes,no,unknown,6,jun,7,18,-1,0,unknown,0
53,unemployed,married,tertiary,no,1203,no,no,cellular,21,nov,36,4,-1,0,unknown,0
43,blue-collar,single,unknown,no,953,yes,no,telephone,11,may,8,5,336,13,failure,0
45,unemployed,married,secondary,no,-35,no,no,cellular,28,jan,70,1,-1,0,unknown,0
41,management,single,tertiary,no,1667,no,no,cellular,9,apr,605,2,-1,0,unknown,1
55,retired,married,secondary,no,1828,no,no,unknown,12,jun,59,1,-1,0,unknown,0
42,blue-collar,married,secondary,no,0,yes,no,unknown,30,may,82,4,-1,0,unknown,0
46,admin.,married,secondary,no,926,no,no,unknown,17,jun,139,3,-1,0,unknown,0
47,self-employed,married,tertiary,no,948,no,no,cellular,4,feb,156,1,-1,0,unknown,0
37,admin.,married,secondary,no,0,no,no,unknown,5,jun,147,2,-1,0,unknown,0
28,admin.,single,secondary,no,38,yes,no,unknown,8,may,135,2,-1,0,unknown,0
33,management,single,tertiary,no,-513,no,no,cellular,26,aug,95,4,-1,0,unknown,0
35,technician,married,secondary,no,0,no,no,cellular,11,aug,189,2,-1,0,unknown,0
56,management,married,tertiary,no,870,yes,no,cellular,30,jul,763,12,-1,0,unknown,0
56,blue-collar,married,secondary,no,2473,no,no,cellular,6,aug,111,2,-1,0,unknown,0
41,admin.,married,secondary,no,699,no,no,unknown,20,jun,19,4,-1,0,unknown,0
58,unknown,married,unknown,no,8,no,no,cellular,26,aug,141,8,-1,0,unknown,0
35,technician,divorced,tertiary,no,4,yes,no,unknown,20,may,119,1,-1,0,unknown,0
39,management,married,tertiary,no,953,yes,no,cellular,5,may,159,1,-1,0,unknown,0
59,retired,married,secondary,no,1375,yes,no,cellular,19,nov,124,1,-1,0,unknown,0
35,management,married,tertiary,no,1078,yes,no,cellular,31,jul,9,4,-1,0,unknown,0
42,blue-collar,married,secondary,no,-7,no,yes,cellular,31,jul,106,32,-1,0,unknown,0
31,technician,married,secondary,no,5204,yes,no,cellular,21,nov,489,1,-1,0,unknown,0
33,management,single,tertiary,no,511,no,no,cellular,27,mar,288,2,-1,0,unknown,1
37,blue-collar,married,secondary,no,538,yes,no,unknown,11,jun,139,2,-1,0,unknown,0
31,services,single,unknown,no,39,yes,no,cellular,15,jul,102,4,-1,0,unknown,0
31,admin.,single,secondary,no,397,yes,no,cellular,13,may,536,1,-1,0,unknown,1
45,technician,married,secondary,no,10,no,no,cellular,2,feb,371,2,-1,0,unknown,0
47,technician,married,secondary,no,0,yes,no,cellular,22,jul,190,1,-1,0,unknown,0
30,technician,single,secondary,no,-241,yes,no,cellular,15,may,76,2,-1,0,unknown,0
49,admin.,married,secondary,no,0,yes,no,cellular,31,jul,1039,7,-1,0,unknown,1
48,services,single,secondary,no,519,no,no,unknown,5,jun,437,1,-1,0,unknown,0
26,blue-collar,married,secondary,no,1254,no,yes,cellular,8,jul,446,2,-1,0,unknown,0
57,retired,married,tertiary,no,0,no,no,cellular,18,aug,111,2,-1,0,unknown,0
26,blue-collar,single,secondary,yes,47,no,no,cellular,7,jul,498,1,-1,0,unknown,0
48,admin.,single,secondary,no,-398,no,yes,cellular,21,jul,89,1,-1,0,unknown,0
56,management,married,tertiary,no,2785,no,no,cellular,21,nov,817,5,-1,0,unknown,1
47,services,married,secondary,no,705,no,yes,cellular,8,jul,122,1,-1,0,unknown,0
37,services,married,secondary,no,595,no,no,unknown,17,jun,69,1,-1,0,unknown,0
34,blue-collar,single,secondary,no,603,yes,no,unknown,7,may,528,3,-1,0,unknown,0
43,technician,married,secondary,no,583,no,no,cellular,13,nov,218,1,91,6,success,1
29,housemaid,married,primary,no,439,yes,no,cellular,14,may,129,1,-1,0,unknown,0
55,retired,married,secondary,no,446,yes,no,unknown,13,may,705,1,-1,0,unknown,1
32,management,single,tertiary,no,6127,yes,no,cellular,18,may,121,2,-1,0,unknown,0
50,management,married,primary,no,791,yes,no,cellular,6,feb,56,8,-1,0,unknown,0
31,blue-collar,married,secondary,no,18,yes,no,cellular,12,may,121,1,-1,0,unknown,0
34,technician,single,secondary,no,48,no,no,cellular,19,aug,136,2,-1,0,unknown,0
34,services,divorced,secondary,no,454,yes,no,cellular,15,may,644,2,-1,0,unknown,0
34,technician,divorced,secondary,no,0,no,no,cellular,19,aug,77,2,-1,0,unknown,0
54,technician,married,secondary,no,-353,yes,yes,unknown,26,may,114,1,-1,0,unknown,0
40,unemployed,married,primary,no,473,no,no,cellular,18,nov,87,6,-1,0,unknown,0
43,entrepreneur,married,secondary,no,22,yes,no,unknown,14,may,492,2,-1,0,unknown,0
45,blue-collar,married,secondary,no,827,yes,yes,telephone,14,may,197,3,-1,0,unknown,0
32,technician,married,secondary,no,17,yes,no,cellular,15,may,87,6,-1,0,unknown,0
28,technician,single,secondary,no,-158,yes,no,cellular,18,may,16,5,-1,0,unknown,0
33,management,single,tertiary,no,697,no,no,cellular,4,feb,155,1,-1,0,unknown,0
41,blue-collar,married,secondary,no,602,yes,no,cellular,18,nov,39,2,-1,0,unknown,0
35,blue-collar,divorced,secondary,no,0,no,no,unknown,9,may,85,3,-1,0,unknown,0
39,management,married,tertiary,no,566,no,no,cellular,22,aug,79,6,-1,0,unknown,0
28,technician,married,secondary,no,694,yes,no,unknown,12,may,431,1,-1,0,unknown,1
59,retired,married,tertiary,no,794,no,yes,cellular,5,feb,755,1,-1,0,unknown,0
27,admin.,single,secondary,no,1014,yes,no,unknown,13,may,164,2,-1,0,unknown,0
25,admin.,married,secondary,no,874,yes,yes,cellular,28,jul,478,3,-1,0,unknown,0
31,services,married,secondary,no,1649,yes,yes,cellular,17,nov,103,1,-1,0,unknown,0
39,technician,married,secondary,no,-18,no,no,unknown,20,jun,198,2,-1,0,unknown,0
30,technician,divorced,secondary,no,-242,no,yes,cellular,25,jul,691,8,-1,0,unknown,0
