id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
593885,36,management,single,tertiary,no,446,no,no,cellular,6,aug,140,3,-1,0,unknown,0
276397,59,retired,married,secondary,no,2326,no,no,cellular,20,nov,623,2,-1,0,unknown,1
514552,22,student,single,primary,no,4,no,no,cellular,6,feb,114,1,-1,0,unknown,0
588995,33,blue-collar,married,secondary,no,2892,yes,no,unknown,11,jun,157,11,-1,0,unknown,0
388919,53,technician,married,secondary,no,889,no,no,cellular,18,nov,140,1,-1,0,unknown,0
746678,41,admin.,married,secondary,no,2790,yes,no,unknown,12,may,114,2,-1,0,unknown,0
370799,40,technician,married,secondary,no,1029,yes,yes,cellular,9,feb,485,3,-1,0,unknown,0
164036,39,admin.,married,secondary,no,596,yes,no,unknown,21,may,185,2,-1,0,unknown,0
664279,52,blue-collar,divorced,secondary,no,0,no,no,unknown,13,may,95,1,-1,0,unknown,0
357753,42,blue-collar,married,secondary,no,-222,yes,no,unknown,27,may,112,5,-1,0,unknown,0
257772,42,blue-collar,married,primary,no,-17,no,no,unknown,6,may,104,1,-1,0,unknown,0
665963,47,blue-collar,married,primary,no,3237,yes,no,cellular,20,apr,476,2,-1,0,unknown,0
638782,35,services,single,secondary,no,523,yes,no,unknown,23,may,923,6,-1,0,unknown,0
638844,44,admin.,married,secondary,no,865,yes,no,unknown,13,may,103,2,-1,0,unknown,0
566692,39,management,single,tertiary,no,2416,no,no,cellular,3,jun,1201,2,-1,0,unknown,1
522833,60,retired,married,secondary,no,-11,yes,yes,unknown,14,may,76,1,-1,0,unknown,0
689275,34,blue-collar,married,primary,no,0,yes,no,cellular,11,jul,209,2,-1,0,unknown,0
307972,30,technician,single,secondary,no,-242,yes,yes,cellular,18,may,18,5,-1,0,unknown,0
442245,33,blue-collar,married,secondary,no,1583,yes,no,cellular,6,feb,15,7,270,1,failure,0
611662,37,blue-collar,married,primary,no,552,yes,yes,unknown,23,may,104,1,-1,0,unknown,0
42802,32,technician,married,secondary,no,0,no,no,cellular,18,aug,121,4,-1,0,unknown,0
157858,40,unknown,married,secondary,no,538,no,no,unknown,17,jun,138,1,-1,0,unknown,0
266454,68,retired,married,tertiary,no,2027,no,no,cellular,14,jun,651,2,-1,0,unknown,1
429144,42,blue-collar,married,secondary,no,1132,yes,no,cellular,7,jul,117,3,-1,0,unknown,0
162123,54,blue-collar,single,secondary,no,-872,yes,no,cellular,11,may,106,3,-1,0,unknown,0
211688,29,services,married,secondary,no,687,yes,no,cellular,15,may,67,2,368,1,failure,0
303861,32,technician,divorced,secondary,no,2166,no,no,cellular,14,may,574,2,-1,0,unknown,0
592840,43,management,married,tertiary,no,973,no,no,cellular,16,jul,111,3,-1,0,unknown,0
360320,36,management,single,tertiary,no,11391,yes,no,cellular,21,nov,72,1,-1,0,unknown,0
569100,42,admin.,divorced,secondary,no,1715,yes,yes,cellular,11,may,534,1,-1,0,unknown,0
219059,40,blue-collar,married,secondary,no,674,yes,yes,unknown,19,may,793,1,-1,0,unknown,0
288623,51,unemployed,married,secondary,no,926,no,no,telephone,28,jan,55,1,-1,0,unknown,0
154069,53,admin.,married,secondary,no,2694,no,no,cellular,18,aug,97,1,-1,0,unknown,0
160996,34,blue-collar,single,secondary,no,-196,yes,yes,cellular,16,jul,126,1,-1,0,unknown,0
747249,59,housemaid,married,primary,no,1769,no,no,cellular,18,nov,50,2,-1,0,unknown,0
328041,35,admin.,married,secondary,no,464,no,no,cellular,30,apr,194,1,83,2,success,1
608244,29,admin.,single,secondary,no,17,yes,no,cellular,7,may,391,1,-1,0,unknown,0
240811,31,admin.,single,secondary,no,4,yes,no,cellular,12,may,84,5,350,1,failure,0
302968,36,management,married,tertiary,no,1179,yes,no,cellular,2,jun,185,4,98,2,success,1
563871,41,blue-collar,married,primary,no,736,yes,no,cellular,20,apr,54,1,-1,0,unknown,0
564661,46,admin.,married,primary,no,0,no,no,cellular,5,aug,129,1,-1,0,unknown,0
327979,25,blue-collar,single,secondary,no,35,no,no,cellular,9,jul,478,1,-1,0,unknown,0
596932,57,admin.,married,secondary,no,471,yes,yes,unknown,8,may,434,2,-1,0,unknown,0
301664,45,services,married,secondary,no,-15,no,no,cellular,7,jul,113,2,-1,0,unknown,0
321379,56,self-employed,married,secondary,no,687,no,no,unknown,12,jun,397,5,-1,0,unknown,0
466073,35,self-employed,married,tertiary,no,1390,no,no,cellular,7,jul,1051,2,-1,0,unknown,0
31215,32,student,single,tertiary,no,705,no,no,cellular,17,apr,130,4,-1,0,unknown,1
123926,58,retired,married,tertiary,no,-890,yes,no,cellular,17,jul,77,1,-1,0,unknown,0
338654,32,technician,married,secondary,no,1241,no,no,unknown,28,may,8,5,-1,0,unknown,0
72227,51,technician,divorced,secondary,no,763,yes,no,cellular,13,may,112,1,-1,0,unknown,0
469637,27,admin.,divorced,secondary,no,595,yes,no,unknown,21,may,171,1,-1,0,unknown,0
159906,50,management,married,tertiary,no,11008,yes,no,cellular,6,may,854,1,-1,0,unknown,1
78975,36,technician,married,secondary,no,4328,no,no,cellular,23,may,227,1,189,1,success,1
504595,36,management,divorced,tertiary,no,771,yes,no,cellular,7,may,123,3,-1,0,unknown,0
713936,49,entrepreneur,married,tertiary,no,422,yes,no,unknown,14,may,48,1,-1,0,unknown,0
556677,49,services,divorced,secondary,no,2,no,no,cellular,7,jul,5,1,-1,0,unknown,0
671936,53,management,married,tertiary,no,0,yes,no,cellular,12,nov,755,1,186,2,failure,0
25392,32,technician,married,secondary,no,597,yes,no,cellular,18,may,166,3,-1,0,unknown,0
472554,48,management,married,tertiary,no,2139,no,no,cellular,12,nov,728,1,-1,0,unknown,1
95417,39,entrepreneur,divorced,tertiary,no,1654,no,no,unknown,6,jun,89,3,-1,0,unknown,0
296674,31,technician,single,secondary,no,6,no,no,unknown,29,may,147,3,-1,0,unknown,0
500110,55,technician,married,secondary,no,1076,no,no,cellular,24,aug,154,2,95,2,success,1
496996,33,technician,divorced,secondary,no,482,yes,yes,unknown,29,may,114,5,-1,0,unknown,0
641508,48,blue-collar,married,primary,no,-212,yes,no,unknown,27,may,76,4,-1,0,unknown,0
128856,31,technician,single,secondary,no,-292,yes,no,unknown,3,jun,181,3,-1,0,unknown,0
273152,35,management,divorced,secondary,no,-3,no,no,unknown,8,may,127,1,-1,0,unknown,0
232831,58,self-employed,married,tertiary,no,1631,yes,no,cellular,31,jul,81,5,-1,0,unknown,0
85265,46,admin.,divorced,secondary,no,771,yes,no,cellular,11,may,48,1,-1,0,unknown,0
247246,58,management,married,tertiary,no,3529,no,no,cellular,13,aug,111,5,-1,0,unknown,0
35229,47,services,single,secondary,no,1407,yes,no,cellular,14,may,101,1,-1,0,unknown,0
678628,22,services,single,secondary,no,523,yes,no,unknown,4,jun,139,1,-1,0,unknown,0
574508,38,management,married,tertiary,yes,0,no,no,cellular,10,aug,120,1,95,2,success,0
358937,53,admin.,married,secondary,no,434,yes,no,unknown,8,may,111,1,-1,0,unknown,0
110328,31,housemaid,married,primary,no,1138,no,yes,cellular,25,aug,82,4,-1,0,unknown,0
698751,28,blue-collar,married,secondary,no,-17,yes,no,unknown,4,jun,171,1,-1,0,unknown,0
285698,38,management,married,tertiary,no,700,no,no,cellular,13,aug,94,2,-1,0,unknown,0
123629,30,blue-collar,single,primary,no,483,no,no,cellular,30,apr,431,1,-1,0,unknown,1
447930,46,management,married,tertiary,no,1132,no,no,cellular,18,aug,129,7,-1,0,unknown,0
419603,34,admin.,single,secondary,no,715,yes,no,cellular,18,nov,124,1,-1,0,unknown,0
588366,56,blue-collar,married,primary,no,875,no,no,cellular,20,nov,61,2,-1,0,unknown,0
450312,45,blue-collar,married,secondary,no,854,no,no,cellular,13,may,837,2,-1,0,unknown,0
97349,28,management,single,tertiary,no,1101,yes,no,cellular,6,may,676,6,-1,0,unknown,0
344411,32,admin.,married,secondary,no,-32,no,yes,cellular,7,jul,176,1,-1,0,unknown,0
666088,36,technician,married,secondary,no,0,no,no,cellular,27,aug,120,6,-1,0,unknown,0
732821,56,retired,married,primary,no,0,no,no,cellular,12,aug,137,2,-1,0,unknown,0
560032,53,admin.,married,primary,no,961,no,no,telephone,5,aug,148,1,-1,0,unknown,0
123739,46,blue-collar,married,primary,no,4684,no,no,unknown,20,jun,30,3,-1,0,unknown,0
398603,42,management,married,secondary,no,2081,yes,no,cellular,2,feb,148,1,-1,0,unknown,0
111693,46,technician,married,secondary,no,438,no,no,cellular,11,aug,212,5,-1,0,unknown,0
220526,31,blue-collar,single,secondary,no,3237,yes,no,cellular,15,may,577,2,-1,0,unknown,0
225909,45,housemaid,divorced,secondary,no,1301,no,yes,cellular,9,jul,166,1,-1,0,unknown,0
168767,57,management,divorced,tertiary,no,3940,yes,no,unknown,5,may,92,1,-1,0,unknown,0
388000,24,admin.,single,secondary,no,2697,yes,no,cellular,26,may,665,2,362,1,failure,0
432673,30,management,single,tertiary,no,725,no,no,cellular,25,aug,85,4,-1,0,unknown,0
276038,36,management,single,tertiary,no,665,yes,no,cellular,20,apr,20,5,-1,0,unknown,0
337226,58,admin.,married,secondary,no,-813,no,no,cellular,20,nov,73,2,-1,0,unknown,0
317957,52,management,married,tertiary,no,1331,no,no,cellular,4,feb,80,2,-1,0,unknown,0
375667,31,technician,single,tertiary,no,3,no,no,cellular,28,aug,77,11,-1,0,unknown,0
441065,37,blue-collar,married,secondary,no,1192,yes,no,cellular,13,may,154,2,-1,0,unknown,0
243006,35,admin.,single,secondary,no,1116,yes,yes,unknown,20,jun,7,14,-1,0,unknown,0
242150,43,blue-collar,divorced,primary,no,-45,no,no,cellular,18,jul,124,4,-1,0,unknown,0
45747,51,entrepreneur,divorced,tertiary,no,437,no,yes,cellular,12,feb,70,4,184,3,success,0
256933,49,technician,divorced,tertiary,no,1718,yes,no,cellular,7,aug,71,2,-1,0,unknown,0
401250,28,management,single,tertiary,no,1808,yes,no,cellular,13,aug,107,3,105,1,other,1
357457,51,management,divorced,tertiary,no,1063,no,no,cellular,8,aug,57,8,-1,0,unknown,0
219398,29,blue-collar,single,secondary,no,12961,yes,no,unknown,23,may,912,2,-1,0,unknown,0
693050,52,blue-collar,married,primary,no,0,no,no,cellular,22,aug,85,4,-1,0,unknown,0
615895,37,admin.,single,secondary,no,0,no,no,cellular,29,jan,104,3,-1,0,unknown,0
419156,54,technician,divorced,unknown,no,901,yes,no,cellular,18,nov,39,3,-1,0,unknown,0
459665,46,entrepreneur,married,secondary,no,776,yes,no,cellular,11,may,722,4,-1,0,unknown,0
699466,46,technician,single,secondary,no,3122,yes,no,cellular,11,aug,82,4,-1,0,unknown,0
650113,48,management,married,secondary,no,0,no,no,cellular,9,jul,42,1,-1,0,unknown,0
348457,37,admin.,single,secondary,no,0,no,yes,cellular,15,jul,72,6,-1,0,unknown,0
482998,38,services,married,secondary,no,4392,yes,no,cellular,31,jul,32,4,-1,0,unknown,0
312378,50,technician,married,secondary,no,897,yes,no,unknown,2,jun,139,2,-1,0,unknown,0
21226,51,blue-collar,married,secondary,no,887,no,no,cellular,11,aug,553,2,-1,0,unknown,0
138692,33,technician,single,tertiary,no,794,no,no,cellular,25,aug,86,6,-1,0,unknown,0
209962,42,self-employed,married,secondary,no,0,yes,no,cellular,7,may,183,5,-1,0,unknown,0
625105,44,blue-collar,married,secondary,no,1245,yes,no,unknown,29,may,181,1,-1,0,unknown,0
93636,35,blue-collar,married,secondary,no,584,yes,no,cellular,7,may,152,1,-1,0,unknown,0
202461,36,management,married,tertiary,no,830,yes,yes,unknown,21,may,7,3,-1,0,unknown,0
648751,45,blue-collar,married,secondary,no,0,no,yes,cellular,8,jul,83,1,-1,0,unknown,0
471416,46,management,married,tertiary,no,3749,no,no,cellular,19,aug,80,6,-1,0,unknown,0
183488,56,retired,married,primary,no,-1386,no,yes,cellular,10,jul,80,2,-1,0,unknown,0
690797,41,blue-collar,married,secondary,no,875,yes,yes,unknown,29,may,124,2,-1,0,unknown,0
730295,32,blue-collar,married,secondary,no,-2,yes,no,unknown,27,may,203,1,-1,0,unknown,0
